comment_id,video_id,date,body,rating
UgzHduB8hJNtSSVQJ-t4AaABAg,ItYOdWRo0JY,2019-03-01T09:31:58Z,Good,1
UgxB4Ya7EeXjnL2gXrF4AaABAg,ItYOdWRo0JY,2019-02-11T13:52:23Z,Nice!,1
UgwTHUgTPBxRu8bz6-l4AaABAg,ItYOdWRo0JY,2019-01-30T12:56:09Z,U are a kind person,1
UgjVVUkF3LLWNXgCoAEC,PpcNQNJmU9Y,2016-07-14T00:24:28Z,this looks good,1
UgzhYX7nMHIoIuivJKB4AaABAg,ItYOdWRo0JY,2019-01-26T09:37:00Z,Cool,1
UgwsvtG8cZmcHp_jynx4AaABAg,0tO_l_Ed5Rs,2019-07-29T22:00:27Z,Another talent Matthew possess .,1
Ugxn2Ag15UkrVAtPDh54AaABAg,0tO_l_Ed5Rs,2020-03-11T22:15:20Z,I kinda love this.. its not mumble rap b.s plus Matt looks hot<3,1
Ugy1Wp2qqlNY2212gCt4AaABAg,0tO_l_Ed5Rs,2020-07-31T15:15:35Z,"love this , mathew you killed it",1
Ugxv28EU_oNlNd7b13h4AaABAg,0tO_l_Ed5Rs,2020-03-24T22:22:26Z,Dang matt you killin it.,1
Ugzo7Rf5bNJFl6e5mYR4AaABAg,0tO_l_Ed5Rs,2019-12-28T22:40:42Z,Bruh the good ol days,1
UgxU0Pzs3N6MMRDgSdV4AaABAg,0tO_l_Ed5Rs,2020-01-11T15:12:48Z,Best song ever,1
UgyRgqDxNbS1_4I63dJ4AaABAg,0tO_l_Ed5Rs,2019-08-13T03:35:16Z,Mathew s lyrics are great thou,1
UgyI90OZdukRk5jrXGN4AaABAg,0tO_l_Ed5Rs,2020-06-08T23:03:42Z,I love  this  matthew santoro  and  your  great  at everything  you  do,1
UgwwjSdNTjJMRIlraPd4AaABAg,0tO_l_Ed5Rs,2020-03-06T07:42:06Z,WOW  this actually made me FEEL something for once thanks Matt.,1
UgyhMGl30WlRz-VHXQt4AaABAg,0tO_l_Ed5Rs,2021-01-11T21:14:00Z,Really cool ! Why all the thumb downs ? Whose disliking this ?,1
Ugw_PgzgXl_1nVrHqKV4AaABAg,0tO_l_Ed5Rs,2019-08-27T20:30:10Z,2019 still the best track ever made.,1
